feature_id	Naive_WT_REP1	Naive_WT_REP2	D3_WT_REP1	D3_WT_REP2	D5_WT_REP1	D5_WT_REP2	D8_WT_TE_Exp2_REP1	D8_WT_TE_Exp2_REP2	D8_WT_TE_Exp2_REP3
Interval_297	59	78	239	147	122	114	24	21	23
Interval_299	4	5	66	52	63	54	16	22	13
Interval_332	77	111	4	1	19	24	13	5	13
Interval_359	35	83	203	124	171	173	93	126	121
Interval_409	23	44	17	9	12	9	1	1	2
Interval_426	9	13	4	1	5	2	2	0	4
Interval_446	53	92	16	4	52	54	99	83	115
Interval_449	36	49	21	9	47	33	10	11	26
Interval_451	6	9	80	44	13	9	1	1	0
Interval_455	175	219	15	12	12	12	1	3	5
Interval_491	46	80	39	26	57	51	44	41	36
Interval_494	15	14	118	81	101	116	27	26	26
Interval_496	18	16	172	102	341	381	269	274	316
Interval_550	17	21	33	27	23	23	4	1	3
Interval_572	474	700	218	125	378	375	223	237	298
Interval_632	83	154	42	22	13	8	3	6	6
Interval_650	2	6	85	54	4	5	4	1	1
Interval_672	9	19	5	6	4	4	7	6	4
Interval_681	274	326	101	51	124	124	19	23	24
Interval_698	1	2	25	12	2	7	4	4	5
Interval_771	5	7	64	29	20	14	18	16	18
Interval_801	24	32	16	11	28	31	9	13	11
Interval_834	12	17	6	6	11	21	6	9	14
Interval_857	437	595	147	103	471	499	173	226	340
Interval_858	231	351	69	45	185	243	85	101	151
Interval_863	6	5	1	2	6	4	2	4	2
Interval_875	15	29	51	47	32	37	9	10	5
Interval_883	50	81	18	11	42	40	35	34	31
Interval_888	197	250	1	7	6	3	0	3	3
Interval_890	232	285	82	90	270	262	92	113	103
Interval_933	354	458	140	113	333	334	193	218	277
Interval_941	43	53	355	227	98	82	29	29	31
Interval_956	665	790	247	177	554	623	301	340	502
Interval_969	19	43	10	7	30	22	9	9	13
Interval_978	511	627	187	111	472	492	278	321	392
Interval_1004	64	109	15	7	241	244	153	179	256
Interval_1038	2	9	35	22	55	36	14	18	12
Interval_1142	3	5	7	3	4	5	0	1	0
Interval_1170	100	132	62	33	59	42	2	4	8
Interval_1229	90	131	16	19	6	7	3	2	0
Interval_1230	50	64	50	39	15	18	5	6	3
Interval_1290	50	81	23	17	48	48	23	24	16
Interval_1309	81	152	9	9	6	5	2	3	5
Interval_1345	20	25	3	1	2	2	0	3	1
Interval_1348	8	16	47	34	150	163	49	78	62
Interval_1357	4	3	11	18	11	5	1	0	0
Interval_1396	2	8	5	15	154	158	42	45	61
Interval_1423	8	16	69	41	196	201	127	109	174
Interval_1430	13	9	19	14	16	23	28	27	42
Interval_1440	2	6	82	36	74	51	55	61	59
Interval_1483	25	37	13	8	14	29	7	16	9
Interval_1491	44	80	65	46	299	335	190	221	294
Interval_1493	15	19	189	104	461	507	338	315	422
Interval_1521	43	69	6	4	4	2	2	2	2
Interval_1526	2	11	87	48	37	30	4	9	4
Interval_1538	11	11	185	98	86	64	20	38	48
Interval_1539	6	21	42	28	19	24	5	3	3
