class	motif	id	enr	q	tp	fp
Decreasing	TCF7L2	MA0523.2	1.8	9.96e-106	2999	1916
Decreasing	Hnf1A	MA1991.2	1.68	5.45e-99	3385	2319
Decreasing	TCF7	MA0769.3	2	4.61e-75	1727	991
Decreasing	Lef1	MA0768.3	1.28	3.15e-59	6020	5396
Decreasing	TCF7L1	MA1421.1	1.36	7.67e-43	3628	3071
Decreasing	Sox11	MA0869.3	1.17	5.31e-19	4906	4810
Decreasing	SOX10	MA0442.3	1.09	1.15e-16	8542	8975
Decreasing	Runx1	MA0002.3	1.28	4.09e-15	2085	1870
Decreasing	ZIM3	MA1709.2	1.11	2.05e-14	6932	7190
Decreasing	ZNF766	MA2098.1	1.04	2.05e-14	12840	14180
Decreasing	SOX15	MA1152.2	1.06	4.77e-13	10533	11411
Decreasing	SOX4	MA0867.3	1.07	2.25e-12	9717	10467
Decreasing	RUNX2	MA0511.2	1.26	5.05e-12	1904	1739
Decreasing	FOSL1::JUND	MA1143.2	1.19	1.68e-11	2859	2760
Decreasing	Foxf1	MA1606.2	1.04	7.02e-11	11666	12829
Decreasing	FOXD3	MA0041.3	1.04	7.94e-11	12182	13456
Decreasing	Foxl2	MA1607.2	1.07	9.61e-11	9059	9751
Decreasing	Hmga1	MA2124.1	1.04	1.03e-10	11904	13123
Decreasing	Pou5f1::Sox2	MA0142.1	1.04	1.05e-10	11614	12774
Decreasing	ZNF384	MA1125.2	1.07	1.47e-10	8214	8780
Decreasing	ZNF354A	MA1978.2	1.04	2.56e-10	12522	13887
Decreasing	FOXP4	MA2117.1	1.02	8.03e-10	13632	15279
Decreasing	POU5F1B	MA0792.1	1.03	8.16e-10	13337	14908
Decreasing	Stat2	MA1623.2	1.05	1.1e-09	11037	12116
Decreasing	Bcl11B	MA1989.2	1.05	1.26e-09	10202	11130
Decreasing	PRDM1	MA0508.4	1.05	1.89e-09	10397	11366
Decreasing	Sox6	MA0515.1	1.15	2.29e-09	3230	3220
Decreasing	POU3F1	MA0786.2	1.03	2.55e-09	12539	13937
Decreasing	GATA5	MA0766.3	1.14	3.06e-09	3541	3564
Decreasing	Stat4	MA0518.2	1.06	3.36e-09	8677	9366
Decreasing	Foxo3	MA0157.4	1.05	1.15e-08	10015	10945
Decreasing	CREB3	MA0638.2	1.12	1.22e-08	4383	4512
Decreasing	Arid3a	MA0151.1	1.05	1.22e-08	10171	11130
Decreasing	POU6F1	MA0628.2	1.03	1.37e-08	13046	14580
Decreasing	Nr2e3	MA0164.2	1.06	1.58e-08	8293	8948
Decreasing	FOXO4	MA0848.1	1.05	2.16e-08	9601	10472
Decreasing	FOXK1	MA0852.3	1.03	2.76e-08	12098	13435
Decreasing	CREB1	MA0018.5	1.04	3.25e-08	11273	12450
Decreasing	TGIF2LY	MA1572.1	1.24	3.25e-08	1433	1329
Decreasing	Hoxa13	MA0650.4	1.03	3.3e-08	11939	13247
Decreasing	RAX	MA0718.2	1.03	3.43e-08	12983	14515
Decreasing	FOXS1	MA2118.1	1.03	3.46e-08	12515	13944
Decreasing	ZNF317	MA1593.2	1.05	4.24e-08	10326	11335
Decreasing	Gfi1B	MA0483.2	1.08	5.38e-08	6157	6529
Decreasing	FOXA1	MA0148.5	1.04	6.06e-08	11570	12815
Decreasing	Nr2e1	MA0676.1	1.07	6.2e-08	7264	7792
Decreasing	Nfat5	MA0606.3	1.03	6.4e-08	12741	14228
Decreasing	Sox7	MA2095.1	1.05	6.56e-08	9903	10847
Decreasing	Ptf1A	MA1620.2	1.16	6.58e-08	2527	2503
Decreasing	Foxo1	MA0480.3	1.03	6.58e-08	12579	14032
Decreasing	HLF	MA0043.4	1.05	6.73e-08	10218	11218
Decreasing	FOXA3	MA1683.2	1.03	6.73e-08	12580	14034
Decreasing	BARX2	MA1471.2	1.04	7.02e-08	10712	11801
Decreasing	FOXC2	MA0846.2	1.05	7.02e-08	10193	11190
Decreasing	XBP1	MA0844.2	1.1	7.89e-08	4542	4723
Decreasing	GATA2	MA0036.4	1.03	1.02e-07	12672	14152
Decreasing	PHOX2B	MA0681.3	1.05	1.34e-07	9273	10126
Decreasing	POU4F3	MA0791.2	1.04	2e-07	10194	11209
Decreasing	GRHL2	MA1105.3	1.06	2.37e-07	8282	8988
Decreasing	TBP	MA0108.3	1.03	2.38e-07	11575	12845
Decreasing	PBX2	MA1113.3	1.03	2.5e-07	12050	13414
Decreasing	FOXK2	MA1103.3	1.04	2.55e-07	10263	11295
Decreasing	Dmrt1	MA1603.2	1.03	2.72e-07	11931	13273
Decreasing	LIN54	MA0619.2	1.14	2.74e-07	2701	2712
Decreasing	DBP	MA0639.2	1.12	2.88e-07	3582	3679
Decreasing	RUNX3	MA0684.3	1.14	3.31e-07	2858	2886
Decreasing	Creb5	MA0840.2	1.22	3.76e-07	1399	1320
Decreasing	SNAI2	MA0745.3	1.19	3.96e-07	1734	1675
Decreasing	POU3F3	MA0788.1	1.04	4.05e-07	10709	11829
Decreasing	MEF2A	MA0052.5	1.03	4.65e-07	11980	13341
Decreasing	MYF6	MA0667.1	1.07	6.13e-07	6976	7509
Decreasing	FOXC1	MA0032.2	1.04	6.23e-07	10977	12153
Decreasing	FOXP1	MA0481.4	1.04	6.74e-07	11198	12416
Decreasing	Foxj2	MA0614.1	1.05	8.86e-07	8275	9007
Decreasing	FOXD2	MA0847.4	1.05	9.02e-07	9333	10233
Decreasing	FOS::JUND	MA1141.2	1.07	9.6e-07	6105	6527
Decreasing	ATF4	MA0833.3	1.14	1.01e-06	2588	2608
Decreasing	POU5F1	MA1115.2	1.02	1.06e-06	13214	14847
Decreasing	Tcf12	MA0521.3	1.07	1.53e-06	6342	6805
Decreasing	FOSL2::JUND	MA1144.2	1.1	1.56e-06	4056	4233
Decreasing	FOXG1	MA0613.1	1.06	1.56e-06	7604	8247
Decreasing	FOSL2::JUNB	MA1139.2	1.15	1.58e-06	2342	2347
Decreasing	DMRTA1	MA1707.2	1.05	1.79e-06	8170	8901
Decreasing	HOXB13	MA0901.3	1.04	1.79e-06	10894	12075
Decreasing	SOX12	MA1561.2	1.04	2.16e-06	9746	10732
Decreasing	Irf1	MA0050.4	1.03	2.31e-06	11624	12944
Decreasing	POU4F1	MA0790.2	1.04	2.5e-06	10741	11901
Decreasing	GMEB2	MA0862.1	1.13	2.71e-06	2579	2613
Decreasing	RFX3	MA0798.3	1.59	2.83e-06	263	190
Decreasing	CDX2	MA0465.3	1.02	2.87e-06	13208	14854
Decreasing	Atf1	MA0604.1	1.26	3.31e-06	872	793
Decreasing	Rhox11	MA0629.2	1.02	3.79e-06	13053	14669
Decreasing	Foxj3	MA0851.2	1.04	3.79e-06	9632	10611
Decreasing	FOSL2::JUNB	MA1138.2	1.09	4.86e-06	4106	4310
Decreasing	FOXI1	MA0042.2	1.04	4.86e-06	10332	11434
Decreasing	Mecom	MA0029.2	1.11	5.1e-06	3090	3184
Decreasing	RFX1	MA0509.3	1.44	5.93e-06	379	303
Decreasing	FOXO6	MA0849.1	1.06	6.06e-06	6855	7419
Decreasing	SOX8	MA0868.3	1.07	6.61e-06	5956	6398
Decreasing	ALX3	MA0634.2	1.02	7.15e-06	13609	15359
Decreasing	SRY	MA0084.2	1.04	7.41e-06	9163	10080
Decreasing	MEIS3	MA0775.2	1.06	7.41e-06	6758	7313
Decreasing	Prdm4	MA1647.3	1.06	7.86e-06	6890	7465
Decreasing	FOXP2	MA0593.2	1.09	7.99e-06	4097	4310
Decreasing	LBX2	MA0699.2	1.01	7.99e-06	14081	15949
Decreasing	FOXF2	MA0030.2	1.05	8.08e-06	7816	8527
Decreasing	HMBOX1	MA0895.2	1.01	8.08e-06	14367	16314
Decreasing	Nobox	MA0125.2	1.02	9.33e-06	13254	14928
Decreasing	ZNF652	MA1657.2	1.03	1.02e-05	12193	13650
Decreasing	RFX5	MA0510.3	1.15	1.04e-05	1853	1845
Decreasing	HNF4A	MA0114.5	1.02	1.12e-05	13755	15546
Decreasing	ZNF214	MA1975.2	1.03	1.16e-05	11013	12253
Decreasing	STAT1::STAT2	MA0517.2	1.09	1.32e-05	3740	3922
Decreasing	SNAI1	MA1558.2	1.09	1.33e-05	4221	4459
Decreasing	FOXD1	MA0031.2	1.03	1.45e-05	10408	11547
Decreasing	CREB3L4	MA1475.2	1.06	1.48e-05	6143	6629
Decreasing	FOXA2	MA0047.4	1.03	1.61e-05	10569	11738
Decreasing	CREB3L1	MA0839.2	1.09	1.64e-05	3945	4155
Decreasing	VSX2	MA0726.2	1.02	1.64e-05	13185	14853
Decreasing	MEIS2	MA1640.2	1.02	1.78e-05	12680	14244
Decreasing	MEIS1	MA0498.3	1.02	1.79e-05	13056	14698
Decreasing	FOXE1	MA1487.3	1.07	2.19e-05	5441	5842
Decreasing	FOXN3	MA1489.1	1.04	2.23e-05	8798	9683
Decreasing	VAX2	MA0723.3	1.01	2.72e-05	14165	16069
